id,title,year
5,Four Rooms,1995
11,Star Wars,1977
12,Finding Nemo,2003
13,Forrest Gump,1994
14,American Beauty,1999
15,Citizen Kane,1941
16,Dancer in the Dark,2000
18,The Fifth Element,1997
19,Metropolis,1927
20,My Life Without Me,2003
22,Pirates of the Caribbean: The Curse of the Black Pearl,2003
24,Kill Bill: Vol. 1,2003
25,Jarhead,2005
27,9 Songs,2004
28,Apocalypse Now,1979
33,Unforgiven,1992
35,The Simpsons Movie,2007
38,Eternal Sunshine of the Spotless Mind,2004
55,Amores Perros,2000
58,Pirates of the Caribbean: Dead Man's Chest,2006
59,A History of Violence,2005
62,2001: A Space Odyssey,1968
63,Twelve Monkeys,1995
64,Talk to Her,2002
65,8 Mile,2002
68,Brazil,1985
69,Walk the Line,2005
70,Million Dollar Baby,2004
71,Billy Elliot,2000
73,American History X,1998
74,War of the Worlds,2005
75,Mars Attacks!,1996
76,Before Sunrise,1995
77,Memento,2000
78,Blade Runner,1982
79,Hero,2002
80,Before Sunset,2004
81,Nausicaä of the Valley of the Wind,1984
82,Miami Vice,2006
83,Open Water,2003
85,Raiders of the Lost Ark,1981
87,Indiana Jones and the Temple of Doom,1984
88,Dirty Dancing,1987
89,Indiana Jones and the Last Crusade,1989
90,Beverly Hills Cop,1984
93,Anatomy of a Murder,1959
95,Armageddon,1998
96,Beverly Hills Cop II,1987
97,Tron,1982
98,Gladiator,2000
99,All About My Mother,1999
100,"Lock, Stock and Two Smoking Barrels",1998
101,Léon: The Professional,1994
103,Taxi Driver,1976
104,Run Lola Run,1998
105,Back to the Future,1985
106,Predator,1987
107,Snatch,2000
108,Three Colors: Blue,1993
109,Three Colors: White,1994
110,Three Colors: Red,1994
111,Scarface,1983
113,"Spring, Summer, Fall, Winter... and Spring",2003
114,Pretty Woman,1990
115,The Big Lebowski,1998
116,Match Point,2005
117,The Untouchables,1987
118,Charlie and the Chocolate Factory,2005
120,The Lord of the Rings: The Fellowship of the Ring,2001
121,The Lord of the Rings: The Two Towers,2002
122,The Lord of the Rings: The Return of the King,2003
123,The Lord of the Rings,1978
128,Princess Mononoke,1997
129,Spirited Away,2001
134,"O Brother, Where Art Thou?",2000
136,Freaks,1932
