id,name,birth
1,George Lucas,1944
2,Mark Hamill,1951
3,Harrison Ford,1942
4,Carrie Fisher,1956
5,Peter Cushing,1913
6,Anthony Daniels,1946
7,Andrew Stanton,1965
10,Bob Peterson,1961
12,Alexander Gould,1994
13,Albert Brooks,1947
14,Ellen DeGeneres,1958
18,Brad Garrett,1960
19,Allison Janney,1959
20,Elizabeth Perkins,1960
22,Barry Humphries,1934
23,Bill Hunter,1940
24,Robert Zemeckis,1951
31,Tom Hanks,1956
32,Robin Wright,1966
33,Gary Sinise,1955
34,Mykelti Williamson,1957
35,Sally Field,1946
40,Orson Welles,1915
47,Björk,1965
48,Sean Bean,1959
49,Maria Bello,1967
50,Catherine Deneuve,1943
52,David Morse,1953
53,Peter Stormare,1953
54,Maurice Roëves,1937
56,Sophie Stuckey,1991
62,Bruce Willis,1955
63,Milla Jovovich,1975
64,Gary Oldman,1958
65,Ian Holm,1931
66,Chris Tucker,1971
68,Fritz Lang,1890
69,Gottfried Huppertz,1887
73,Alfred Abel,1879
74,Gustav Fröhlich,1902
75,Brigitte Helm,1906
77,Rudolf Klein-Rogge,1885
78,Fritz Rasp,1891
79,Theodor Loos,1883
80,Erwin Biswanger,1896
81,Heinrich George,1893
85,Johnny Depp,1963
98,Sarah Polley,1979
99,Amanda Plummer,1957
100,Scott Speedman,1975
101,Leonor Watling,1975
102,Debbie Harry,1945
103,Mark Ruffalo,1967
109,Elijah Wood,1981
110,Viggo Mortensen,1958
112,Cate Blanchett,1969
113,Christopher Lee,1922
114,Orlando Bloom,1977
116,Keira Knightley,1985
118,Geoffrey Rush,1951
130,Kenny Baker,1934
131,Jake Gyllenhaal,1980
132,Scott MacDonald,1959
133,Peter Sarsgaard,1971
134,Jamie Foxx,1967
138,Quentin Tarantino,1963
139,Uma Thurman,1970
140,Lucy Liu,1968
141,David Carradine,1936
147,Michael Madsen,1957
150,RZA,1969
155,Lucas Black,1982
164,Lior Ashkenazi,1968
169,Hanns Zischler,1947
176,Kieran O'Brien,1973
177,Margo Stilley,1982
190,Clint Eastwood,1930
192,Morgan Freeman,1937
193,Gene Hackman,1930
194,Richard Harris,1930
197,David Silverman,1957
198,Dan Castellaneta,1957
199,Julie Kavner,1950
